NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;RR;QRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TNTXM;QTNTXM;TAMPLI;QTAMPLI;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;FFM;QFFM;FF2M;QFF2M;FXY;QFXY;DXY;QDXY;HXY;QHXY;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S
 09024004;ASTON;42.724167;1.691000;1781;20230326;9.6;1;0.0;1;1047;9;4.7;1;1539;9;2.3;1;2.4;1;4.7;1;;;;;141;9;3.5;1;;;9.4;1;270;9;2138;9;21.7;1;230;9;2113;9;;;;;;;18.5;9;;;2113;9
 09024004;ASTON;42.724167;1.691000;1781;20230327;0.6;1;-2.0;1;918;9;2.5;1;1332;9;-0.4;1;0.3;1;4.5;1;;;;;854;9;2.5;1;;;5.1;1;300;1;1;9;13.8;1;290;1;616;9;;;;;;;11.0;9;;;717;9
 09024004;ASTON;42.724167;1.691000;1781;20230328;0.0;1;-2.7;1;54;9;13.1;1;1521;9;6.8;1;5.2;1;15.8;1;;;;;282;9;1.6;1;;;4.0;1;310;1;1415;9;7.9;1;310;1;1219;9;;;;;;;7.1;9;;;1237;9
 09024004;ASTON;42.724167;1.691000;1781;20230329;0.0;1;7.0;1;1920;9;17.4;1;1432;9;12.6;1;12.2;1;10.4;1;;;;;0;9;3.0;1;;;6.7;1;220;9;2123;9;13.1;1;230;9;2336;9;;;;;;;12.1;9;;;2123;9
 09024004;ASTON;42.724167;1.691000;1781;20230330;0.0;1;5.9;1;648;9;13.7;1;1640;9;10.1;1;9.8;1;7.8;1;;;;;0;9;3.0;1;;;7.0;1;220;9;2025;9;15.0;1;230;9;2025;9;;;;;;;12.2;9;;;2023;9
 09024004;ASTON;42.724167;1.691000;1781;20230331;0.4;1;1.4;1;1759;9;6.8;1;1113;9;3.8;1;4.1;1;5.4;1;;;;;0;9;2.4;1;;;5.8;1;270;9;2353;9;14.7;1;260;9;2350;9;;;;;;;13.3;9;;;2350;9
 09024004;ASTON;42.724167;1.691000;1781;20230401;10.0;1;-2.6;1;1756;9;4.9;1;1225;9;-0.3;1;1.2;1;7.5;1;;;;;802;9;4.0;1;;;7.8;1;250;1;1926;9;19.9;1;250;1;1821;9;;;;;;;16.4;9;;;654;9
 09024004;ASTON;42.724167;1.691000;1781;20230402;12.0;1;-4.1;1;2108;9;-0.9;1;1330;9;-2.1;1;-2.5;1;3.2;1;;;;;1440;9;3.0;1;;;6.6;1;340;1;121;9;15.1;1;10;1;147;9;;;;;;;13.6;9;;;147;9
 09024004;ASTON;42.724167;1.691000;1781;20230403;1.8;1;-2.8;1;526;9;0.1;1;1508;9;-1.5;1;-1.4;1;2.9;1;;;;;1422;9;2.4;1;;;3.9;1;240;1;1002;9;9.3;1;260;1;246;9;;;;;;;8.3;9;;;246;9
 09024004;ASTON;42.724167;1.691000;1781;20230404;0.0;1;-5.4;1;601;9;1.9;1;1346;9;-1.6;1;-1.8;1;7.3;1;;;;;1035;9;2.0;1;;;4.0;1;330;1;1442;9;8.9;1;310;1;1151;9;;;;;;;8.1;9;;;1151;9
